,subject_id,hours,rating,units,offered_fall,offered_spring,prerequisites,is_hass,schedule
37,18.03,10.13,5.16,12,TRUE,TRUE,,FALSE,"MW1,F12;TR9"
38,21G.593,8,6.8,13,TRUE,FALSE,"21G.504,",TRUE,TR2-3.30
39,21G.505,8.56,6.53,12,TRUE,FALSE,"21G.504,",TRUE,"MW9-10.30,F9"
40,21G.591,7.55,6.35,13,TRUE,FALSE,"21G.504,",TRUE,
41,14.19,8.2,6.3,12,TRUE,FALSE,"14.01,",TRUE,MW2.30-4;F1
42,14.64,7.4,6.7,12,TRUE,FALSE,"14.30,",TRUE,TR10.30-12;F10.30-12
43,2.006,13.53,5.44,12,TRUE,TRUE,"2.005,",FALSE,MW9.30-11F9;F2
44,14.01,7.4,5.29,12,TRUE,TRUE,,TRUE,MW11;F12
45,6.215,11,4.8,12,TRUE,FALSE,"18.06,",FALSE,TR1-2.30;W3
46,14.41,8.6,6.7,12,TRUE,FALSE,"14.01,",TRUE,MW2.30-4;F1
47,2.002,11.07,6,12,FALSE,TRUE,"5.111, 2.001,",FALSE,MW11-12.30;W3-5
48,18.01,10.44,4.68,12,TRUE,TRUE,,FALSE,"TR1,F2;MW2"
49,18.02,9.91,5.61,12,TRUE,TRUE,"18.02,",FALSE,"TR1,F2;MW1"
50,8.01,11.87,5.45,12,TRUE,FALSE,,FALSE,MWF9
51,8.02,10.26,5.25,12,TRUE,TRUE,"18.01, 8.01,",FALSE,"MW9-11,F10"
52,5.111,8.85,5.12,12,TRUE,TRUE,,FALSE,MWF12;TR11
53,7.012,8.51,5.33,12,TRUE,FALSE,,FALSE,MWF10;TR9
